WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.5071981 -5.7985265)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7985265,106.5071981,1.0
"POINT (106.80833 -6.26667)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.26667,106.80833,1.0
"POINT (106.9012443 -6.2258787)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.25,106.8875,1.0
"POINT (106.834091 -6.186486)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.186486,106.834091,1.0
"POINT (106.75 -6.16667)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.16667,106.75,1.0
"POINT (106.8971244 -6.1494224)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.211544,106.845172,1.0
