WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (110.335403 -7.716165)",1767.0,14.0,Kabupaten Sleman,3404.0,2.0,-7.716165,110.335403,1.0
"POINT (110.15133 -7.81256)",1532.0,14.0,Kabupaten Kulon Progo,3401.0,2.0,-7.81256,110.15133,1.0
"POINT (110.3245704 -7.8743871)",1533.0,14.0,Kabupaten Bantul,3402.0,2.0,-7.8846111,110.3341111,1.0
"POINT (110.6125 -7.99444)",1534.0,14.0,Kabupaten Gunung Kidul,3403.0,2.0,-7.99444,110.6125,1.0
"POINT (110.3623359 -7.8033466)",1536.0,14.0,Kota Yogyakarta,3471.0,2.0,-7.797224,110.368797,1.0
