Kampus B STT Terpadu Nurul Fikri, -6.3529245, 106.8326236
Kampus A STT Terpadu Nurul Fikri, -6.3627739, 106.8444527
Universitas Indonesia, -6.3606229, 106.8272343
Universitas Pancasila, -6.3398287, 106.8332517
Kampus E Gunadarma, -6.3545526, 106.8415884
BSI Depok, -6.3574891, 106.8322262
