WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.114411 -6.3257546)",1537.0,16.0,Kabupaten Pandeglang,3601.0,2.0,-6.314835,106.103897,1.0
"POINT (106.21667 -6.65)",1538.0,16.0,Kabupaten Lebak,3602.0,2.0,-6.65,106.21667,1.0
"POINT (106.467931 -6.164401)",1539.0,16.0,Kabupaten Tangerang,3603.0,2.0,-6.164401,106.467931,1.0
"POINT (106.15417 -6.11528)",1540.0,16.0,Kabupaten Serang,3604.0,2.0,-6.11528,106.15417,1.0
"POINT (106.638216 -6.176192)",1541.0,16.0,Kota Tangerang,3671.0,2.0,-6.176192,106.638216,1.0
"POINT (106.0553594 -6.0203968)",1542.0,16.0,Kota Cilegon,3672.0,2.0,-6.0169825,106.040506,1.0
"POINT (106.150276 -6.12)",1543.0,16.0,Kota Serang,3673.0,2.0,-6.120000,106.150276,1.0
